,Title,Latitude,Longitude,Profit_Return
330,It Follows,42.5355929,-83.1481951,11.6253775
331,It Follows,42.4343119,-83.4755551,11.6253775
332,It Follows,42.4141556,-83.1379932,11.6253775
333,It Follows,42.5803122,-83.0302033,11.6253775
334,It Follows,42.5784233,-83.02345179999999,11.6253775
335,It Follows,42.331427,-83.0457538,11.6253775
336,It Follows,42.3794008,-83.028669,11.6253775
337,It Follows,44.3148443,-85.60236429999999,11.6253775
338,It Follows,42.5925769,-83.1147802,11.6253775
339,The Witch,46.092898,-78.885035,11.558434285714286
340,Five Feet Apart,29.95106579999999,-90.0715323,11.500631571428572
341,The Sessions,37.7749295,-122.4194155,11.495204
342,Silver Linings Playbook,39.9634028,-75.28165150000001,11.257735857142857
343,Silver Linings Playbook,39.8757672,-75.3199966,11.257735857142857
344,Silver Linings Playbook,39.9487723,-75.1543003,11.257735857142857
345,Silver Linings Playbook,39.900789,-75.1674341,11.257735857142857
346,Silver Linings Playbook,40.1316746,-75.3442802,11.257735857142857
347,Silver Linings Playbook,39.939393,-75.2721519,11.257735857142857
348,Silver Linings Playbook,39.9493831,-75.1551309,11.257735857142857
349,Silver Linings Playbook,39.9689079,-75.2929516,11.257735857142857
350,Silver Linings Playbook,46.8694494,-113.8724093,11.257735857142857
351,Silver Linings Playbook,37.09024,-95.712891,11.257735857142857
352,Silver Linings Playbook,39.8947245,-75.3352737,11.257735857142857
353,Silver Linings Playbook,38.9108325,-75.52766989999999,11.257735857142857
354,Ted,42.3437118,-71.0833588,11.12033254
355,Ted,42.3556187,-71.0788876,11.12033254
356,Ted,42.3467364,-71.0718314,11.12033254
357,Ted,42.3894272,-71.0422785,11.12033254
358,Ted,42.3466764,-71.0972178,11.12033254
359,Ted,42.3591346,-71.0497542,11.12033254
360,Ted,42.4719387,-70.8930326,11.12033254
361,Ted,42.3554331,-71.0640442,11.12033254
362,Ted,42.39203639999999,-71.0342229,11.12033254
363,Ted,42.3881075,-71.0422177,11.12033254
364,Ted,42.3455392,-71.0871356,11.12033254
365,Ted,42.3917638,-71.0328284,11.12033254
366,Ted,42.19439089999999,-71.19896949999999,11.12033254
367,Ted,42.3600825,-71.0588801,11.12033254
368,Ted,42.4072107,-71.3824374,11.12033254
369,Ted,39.2853928,-76.6083984,11.12033254
370,Ted,42.350758,-71.0662,11.12033254
371,Ted,37.09024,-95.712891,11.12033254
372,Ted,42.1915826,-71.2286963,11.12033254
373,Ted,42.348811,-71.07786,11.12033254
374,Ted,42.3408017,-71.0676489,11.12033254
375,Ted,42.343135,-71.079137,11.12033254
376,The Big Sick,41.8781136,-87.6297982,10.794572
377,Jumanji: Welcome to the Jungle,21.3069444,-157.8583333,10.716624366666666
378,Jumanji: Welcome to the Jungle,19.7241106,-155.0868193,10.716624366666666
379,Jumanji: Welcome to the Jungle,33.5700697,-84.5357744,10.716624366666666
380,Jumanji: Welcome to the Jungle,19.8967662,-155.5827818,10.716624366666666
381,Jumanji: Welcome to the Jungle,34.3916641,-118.542586,10.716624366666666
382,Jumanji: Welcome to the Jungle,33.6892491,-84.57580349999999,10.716624366666666
383,Jumanji: Welcome to the Jungle,33.7995897,-84.3789901,10.716624366666666
384,Jumanji: Welcome to the Jungle,33.7489954,-84.3879824,10.716624366666666
385,Jumanji: Welcome to the Jungle,32.1656221,-82.9000751,10.716624366666666
386,Jumanji: Welcome to the Jungle,37.09024,-95.712891,10.716624366666666
387,Rosemary's Baby,41.8781136,-87.6297982,10.436070625
388,Me Before You,51.6769031,-4.920533799999999,10.4132599
389,Me Before You,39.9265788,3.1441509,10.4132599
390,Me Before You,51.3733817,-0.3619987,10.4132599
391,Me Before You,51.6744742,-0.5332743999999999,10.4132599
392,Me Before You,51.5487876,-0.5322406,10.4132599
393,Me Before You,48.856614,2.3522219,10.4132599
394,Me Before You,48.856614,2.3522219,10.4132599
395,Me Before You,51.674043,-4.908637,10.4132599
396,Chronicle,-34.0281186,18.7180803,10.306815833333333
397,Chronicle,49.2252683,-123.0448879,10.306815833333333
398,Chronicle,-33.9199994,18.4305044,10.306815833333333
399,Chronicle,47.6062095,-122.3320708,10.306815833333333
400,Chronicle,49.2827291,-123.1207375,10.306815833333333
401,Chronicle,53.7266683,-127.6476205,10.306815833333333
402,Chronicle,56.130366,-106.346771,10.306815833333333
403,Chronicle,-30.559482,22.937506,10.306815833333333
